My solution       sklearn
0.866096866097    0.866096866097
0.897435897436    0.897435897436
0.849002849003    0.849002849003
0.866096866097    0.866096866097
0.846153846154    0.846153846154
0.857549857550    0.85754985755
0.831908831909    0.831908831909
0.843304843305    0.843304843305
0.831908831909    0.831908831909
0.840455840456    0.840455840456
0.834757834758    0.834757834758
0.843304843305    0.843304843305
0.834757834758    0.834757834758
0.849002849003    0.849002849003
0.831908831909    0.831908831909
0.846153846154    0.846153846154
0.834757834758    0.834757834758
0.843304843305    0.843304843305
0.837606837607    0.837606837607
